Category;Product Name;Location;Price;Overall Rating;Number Sold;Total Review
Computers and Laptops;Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV;Jakarta Utara;53500;49;5449;2369
Computers and Laptops;PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS;Kota Tangerang Selatan;72000;49;2359;1044
Computers and Laptops;SSD Midasforce 128 Gb - Tanpa Caddy;Jakarta Barat;213000;50;12300;3573
Computers and Laptops;ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL;Jakarta Timur;55000;47;2030;672
Computers and Laptops;Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia;Jakarta Selatan;85000;49;1339;718
Computers and Laptops;AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU;Jakarta Barat;136500;50;1201;632
Computers and Laptops;Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S;Jakarta Barat;113777;49;1630;777
Computers and Laptops;Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original;Jakarta Utara;66000;48;2702;882
Computers and Laptops;Kabel Power Adaptor Charger Laptop 3 Lubang;Jakarta Pusat;25000;49;2122;828
Computers and Laptops;Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G;Jakarta Pusat;55000;49;2010;970
Computers and Laptops;Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3;Kota Bandung;127880;49;1257;700
Computers and Laptops;kipas laptop cooling pad Ace cooling ergostand 15;Kota Depok;55000;49;1230;500
Computers and Laptops;CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook;Kota Depok;55000;48;13900;6671
Computers and Laptops;Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND;Jakarta Barat;74900;47;3713;2153
Computers and Laptops;Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad;Jakarta Barat;112000;49;5988;2969
Computers and Laptops;cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1;Jakarta Utara;13000;47;570;283
Computers and Laptops;MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289;Jakarta Utara;15000;49;690;338
Computers and Laptops;Logitech Bluetooth Keyboard K380 ;Jakarta Timur;122000;49;2780;1342
Computers and Laptops;Logitech M191 Mouse Wireless Full Size - Mid Grey;Jakarta Timur;119000;49;9777;5546
Computers and Laptops;Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S;Jakarta Barat;113777;49;1630;777
Computers and Laptops;Kabel Power Adaptor Charger Laptop 3 Lubang;Jakarta Pusat;25000;49;2122;828
Computers and Laptops;Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad;Jakarta Barat;112000;49;5988;2969
Computers and Laptops;CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466;Kota Bandung;78000;48;1650;754
Computers and Laptops;CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1;Kota Bandung;99000;49;1848;952
